#{"t_start": 1681919817.437588, "env_id": null}
r,l,t
375.0365,2,0.373788
610.655317,2,0.374401
958.88375,2,0.375044
959.8245,2,0.375656
799.798633,2,0.376266
562.9311,2,0.376917
606.7884,2,0.377909
382.865895,2,0.386357
187.6437,2,0.387116
597.535833,2,0.387723
464.757833,2,0.388331
402.8349,2,0.388914
202.2628,2,0.389485
785.179533,2,0.390054
374.722917,2,0.390612
694.915317,2,0.391186
353.862917,2,0.391749
763.52575,2,0.392332
235.367917,2,0.392904
959.197333,2,0.393471
842.1458,2,0.394034
700.12575,2,0.394597
917.477333,2,0.395148
658.379533,2,0.395699
938.02375,2,0.39625
827.5267,2,0.396794
575.18543,2,0.397348
959.510917,2,0.397901
287.473917,2,0.398453
382.865895,2,0.399003
182.716965,2,0.399886
784.38575,2,0.400615
55.095,2,0.401268
592.1693,2,0.401863
832.90375,2,0.402441
319.9415,2,0.403004
799.798633,2,0.403576
938.02375,2,0.404123
871.63475,2,0.404674
287.473917,2,0.405229
625.083333,2,0.405776
27.5475,2,0.406329
959.197333,2,0.406876
255.24393,2,0.407422
404.5256,2,0.407969
767.504965,2,0.408517
938.02375,2,0.409057
182.716965,2,0.409619
725.157798,2,0.41016
639.883,2,0.410697
959.510917,2,0.411243
554.011847,2,0.411787
700.12575,2,0.412327
871.63475,2,0.412866
55.095,2,0.413405
375.2874,2,0.413943
27.5475,2,0.414488
871.63475,2,0.41503
652.401533,2,0.415571
127.621965,2,0.416166
799.798633,2,0.416715
592.1693,2,0.417254
592.379798,2,0.417792
592.379798,2,0.418334
490.611847,2,0.418866
575.18543,2,0.419408
464.757833,2,0.419954
575.18543,2,0.420491
353.862917,2,0.421024
562.9311,2,0.421578
667.020633,2,0.422117
958.88375,2,0.42265
674.055317,2,0.423188
695.2289,2,0.423724
829.91475,2,0.424265
554.011847,2,0.424797
27.5475,2,0.425352
938.02375,2,0.425884
353.862917,2,0.426416
706.10375,2,0.426951
242.7387,2,0.427487
432.0731,2,0.428019
959.8245,2,0.428551
442.88763,2,0.429082
841.518633,2,0.429623
432.0731,2,0.430158
827.5267,2,0.430694
725.157798,2,0.431229
404.5256,2,0.431771
958.88375,2,0.432301
55.095,2,0.432849
763.52575,2,0.433454
375.0365,2,0.434051
674.055317,2,0.434627
402.8349,2,0.435212
896.30375,2,0.435812
574.871847,2,0.436424
606.7884,2,0.436973
832.90375,2,0.437517
598.357798,2,0.438054
382.865895,2,0.438593
432.0731,2,0.439131
672.998633,2,0.439685
290.462917,2,0.440222
874.62375,2,0.440773
